time_ms,node_id,lux,duty,ref
0,1,4.99,555,5.0
522,2,0.0,0,0.0
2114,3,0.0,0,0.0
3696,1,5.047,554,5.0
4220,2,0.0,0,0.0
5854,3,0.0,0,0.0
6354,1,25.016,2430,25.0
6895,2,0.0,0,0.0
8543,3,0.0,0,0.0
10214,1,25.063,2441,25.0
10741,2,0.0,0,0.0
12351,3,0.0,0,0.0
14010,1,24.847,2456,25.0
14532,2,0.0,0,0.0
16168,3,0.0,0,0.0
