time_s,node_id,lux,duty,ref
0.0,1,19.837,0.4139194139194139,20.0
0.88,2,19.99,0.15262515262515264,20.0
1.762,3,19.994,0.22564102564102564,20.0
2.646,1,20.065,0.40073260073260075,20.0
3.531,2,19.975,0.15067155067155066,20.0
4.4,3,20.011,0.22612942612942613,20.0
5.275,1,20.001,0.4146520146520147,20.0
6.159,2,19.944,0.1514041514041514,20.0
7.034,3,19.991,0.2258852258852259,20.0
7.914,1,19.912,0.40244200244200246,20.0
8.793,2,19.974,0.1509157509157509,20.0
9.665,3,20.025,0.22564102564102564,20.0
10.548,1,19.954,0.4148962148962149,20.0
11.426,2,20.014,0.1514041514041514,20.0
12.306,3,19.996,0.22564102564102564,20.0
13.188,1,20.039,0.4039072039072039,20.0
14.074,2,19.991,0.15213675213675212,20.0
14.951,3,19.997,0.2258852258852259,20.0
15.826,1,19.986,0.4148962148962149,20.0
16.71,2,18.089,0.26153846153846155,20.0
17.585,3,19.926,0.36043956043956044,20.0
18.463,1,19.682,0.6981684981684981,20.0
19.334,2,19.939,0.23882783882783884,20.0
20.215,3,19.984,0.37216117216117217,20.0
21.092,1,20.132,0.7062271062271063,20.0
21.974,2,19.995,0.23907203907203908,20.0
22.838,3,19.997,0.3728937728937729,20.0
23.717,1,19.778,0.7147741147741148,20.0
24.594,2,19.686,0.24615384615384617,20.0
25.472,3,19.883,0.3702075702075702,20.0
26.346,1,20.134,0.7272283272283272,20.0
27.226,2,19.751,0.2754578754578755,20.0
28.103,3,19.935,0.3802197802197802,20.0
28.986,1,20.255,0.7816849816849817,20.0
29.864,2,20.066,0.24126984126984127,20.0
30.746,3,20.004,0.37997557997557996,20.0
31.623,1,20.176,0.7279609279609279,20.0
32.494,2,19.987,0.24004884004884006,20.0
33.376,3,19.966,0.38095238095238093,20.0
34.256,1,19.932,0.7433455433455434,20.0
35.138,2,19.966,0.23956043956043957,20.0
36.015,3,20.008,0.38217338217338215,20.0
36.892,1,20.224,0.7199023199023199,20.0
37.768,2,24.477,0.15873015873015872,20.0
38.655,3,19.963,0.22612942612942613,20.0
39.534,1,20.145,0.41440781440781443,20.0
40.411,2,19.988,0.1540903540903541,20.0
41.288,3,19.992,0.2258852258852259,20.0
42.172,1,20.27,0.40586080586080586,20.0
43.048,2,19.991,0.15311355311355312,20.0
43.929,3,19.983,0.22637362637362637,20.0
44.806,1,19.853,0.4188034188034188,20.0
45.687,2,19.988,0.15457875457875458,20.0
46.568,3,20.013,0.22564102564102564,20.0
47.445,1,20.125,0.40927960927960927,20.0
48.317,2,20.012,0.15286935286935288,20.0
49.197,3,20.011,0.22661782661782662,20.0
50.079,1,19.895,0.42002442002442003,20.0
50.958,2,19.983,0.15433455433455434,20.0
51.838,3,20.006,0.2258852258852259,20.0
52.717,1,20.134,0.41025641025641024,20.0
53.593,2,20.007,0.15311355311355312,20.0
54.472,3,20.005,0.22661782661782662,20.0
55.36,1,19.832,0.42124542124542125,20.0
56.238,2,19.935,0.1540903540903541,20.0
57.117,3,20.015,0.2258852258852259,20.0
