time_s,lux,duty
12.250,39.33,0.5861
12.300,40.15,0.5921
12.350,39.76,0.5881
12.400,40.05,0.5866
12.450,39.93,0.5869
12.500,39.72,0.5922
12.550,40.11,0.5860
12.600,39.54,0.5907
12.650,39.97,0.5874
12.700,40.10,0.5872
12.750,40.04,0.5904
12.800,39.53,0.5874
12.850,40.14,0.5874
12.900,39.69,0.5870
12.950,39.98,0.5865
12.999,39.98,0.5878
13.050,39.70,0.5882
13.099,39.98,0.5862
13.149,40.02,0.5890
13.199,40.04,0.5859
13.249,40.07,0.5858
13.299,39.95,0.5866
13.349,39.90,0.5883
13.399,40.09,0.5872
13.449,39.88,0.5866
13.499,40.15,0.5891
13.549,40.18,0.5880
13.599,40.12,0.5874
13.649,39.94,0.5896
13.699,40.05,0.5884
13.749,40.08,0.5876
13.799,39.81,0.5872
13.849,39.95,0.5906
13.899,40.03,0.5879
13.949,39.76,0.5870
13.999,39.91,0.5864
14.049,39.99,0.5879
14.099,40.08,0.5885
14.149,39.76,0.5881
14.199,40.02,0.5859
14.249,40.10,0.5880
14.299,40.14,0.5949
14.349,39.98,0.0000
14.399,39.93,0.0000
14.449,39.97,0.0000
14.499,40.22,0.0000
14.549,40.02,0.0000
14.599,39.36,0.0000
